aalen, aale, aalt, aalte, aalte, aal, aalt, haben, geaalt
bewerfen, bewerfe, bewirft, bewarf, bewürfe, bewirf, bewerft, haben, beworfen
bewerkstelligen, bewerkstellige, bewerkstelligt, bewerkstelligte, bewerkstelligte, bewerkstellig, bewerkstelligt, haben, bewerkstelligt
bewerten, bewerte, bewertet, bewertete, bewertete, bewerte, bewertet, haben, bewertet
bewettern, bewettere, bewettert, bewetterte, bewetterte, bewetter, bewettert, haben, bewettert
bewickeln, bewickele, bewickelt, bewickelte, bewickelte, bewickel, bewickelt, haben, bewickelt
bewilligen, bewillige, bewilligt, bewilligte, bewilligte, bewillige, bewilligt, haben, bewilligt
bewillkommnen, bewillkommne, bewillkommnet, bewillkommnete, bewillkommnete, bewillkommne, bewillkommnet, haben, bewillkommnet
bewimpeln, bewimpele, bewimpelt, bewimpelte, bewimpelte, bewimpel, bewimpelt, haben, bewimpelt
bewirken, bewirke, bewirkt, bewirkte, bewirkte, bewirk, bewirkt, haben, bewirkt
bewirten, bewirte, bewirtet, bewirtete, bewirtete, bewirte, bewirtet, haben, bewirtet
bewirtschaften, bewirtschafte, bewirtschaftet, bewirtschaftete, bewirtschaftete, bewirtschaft, bewirtschaftet, haben, bewirtschaftet
bewitzeln, bewitzele, bewitzelt, bewitzelte, bewitzelte, bewitzel, bewitzelt, haben, bewitzelt
bewohnen, bewohne, bewohnt, bewohnte, bewohnte, bewohne, bewohnt, haben, bewohnt
bewuchern, bewuchere, bewuchert, bewucherte, bewucherte, bewucher, bewuchert, haben, bewuchert
bewundern, bewundere, bewundert, bewunderte, bewunderte, bewundere, bewundert, haben, bewundert
bewurzeln, bewurzele, bewurzelt, bewurzelte, bewurzelte, bewurzel, bewurzelt, haben, bewurzelt
bewähren, bewähre, bewährt, bewährte, bewährte, bewähr, bewährt, haben, bewährt
bewältigen, bewältige, bewältigt, bewältigte, bewältigte, bewältige, bewältigt, haben, bewältigt
bewässern, bewässere, bewässert, bewässerte, bewässerte, bewässere, bewässert, haben, bewässert
bewölken, —, bewölkt, bewölkte, bewölkte, —, —, haben, bewölkt
bezahlen, bezahle, bezahlt, bezahlte, bezahlte, bezahle, bezahlt, haben, bezahlt
bezaubern, bezaubere, bezaubert, bezauberte, bezauberte, bezauber, bezaubert, haben, bezaubert
bezechen, bezeche, bezecht, bezechte, bezechte, bezech, bezecht, haben, bezecht
bezeichnen, bezeichne, bezeichnet, bezeichnete, bezeichnete, bezeichne, bezeichnet, haben, bezeichnet
bezeigen, bezeige, bezeigt, bezeigte, bezeigte, bezeig, bezeigt, haben, bezeigt
bezeugen, bezeuge, bezeugt, bezeugte, bezeugte, bezeug, bezeugt, haben, bezeugt
bezichtigen, bezichtige, bezichtigt, bezichtigte, bezichtigte, bezichtige, bezichtigt, haben, bezichtigt
beziehen, beziehe, bezieht, bezog, bezöge, beziehe, bezieht, haben, bezogen
bezielen, beziele, bezielt, bezielte, bezielte, beziel, bezielt, haben, bezielt
beziffern, beziffere, beziffert, bezifferte, bezifferte, beziffere, beziffert, haben, beziffert
bezirzen, bezirze, bezirzt, bezirzte, bezirzte, bezirze, bezirzt, haben, bezirzt
bezuschussen, bezuschusse, bezuschusst, bezuschusste, bezuschusste, bezuschuss, bezuschusst, haben, bezuschusst
bezwecken, bezwecke, bezweckt, bezweckte, bezweckte, bezweck, bezweckt, haben, bezweckt
bezweifeln, bezweifle, bezweifelt, bezweifelte, bezweifelte, bezweifle, bezweifelt, haben, bezweifelt
bezwingen, bezwinge, bezwingt, bezwang, bezwänge, bezwinge, bezwingt, haben, bezwungen
bezähmen, bezähme, bezähmt, bezähmte, bezähmte, bezähm, bezähmt, haben, bezähmt
beängstigen, beängstige, beängstigt, beängstigte, beängstigte, beängstig, beängstigt, haben, beängstigt
beäugeln, beäugele, beäugelt, beäugelte, beäugelte, beäugel, beäugelt, haben, beäugelt
beäugen, beäuge, beäugt, beäugte, beäugte, beäuge, beäugt, haben, beäugt
beölen, beöle, beölt, beölte, beölte, beöl, beölt, haben, beölt
beömmeln, beömmel, beömmelt, beömmelte, beömmelte, beömmel, beömmelt, haben, beömmelt
bibbern, bibbere, bibbert, bibberte, bibberte, bibbere, bibbert, haben, gebibbert
bibliografieren, bibliografiere, bibliografiert, bibliografierte, bibliografierte, bibliografiere, bibliografiert, haben, bibliografiert
biegen, biege, biegt, bog, böge, biege, biegt, haben, gebogen
bieten, biete, bietet, bot, böte, biete, bietet, haben, geboten
biken, bike, bikt, bikte, bikte, bike, bikt, haben, gebikt
bilanzieren, bilanziere, bilanziert, bilanzierte, bilanzierte, bilanzier, bilanziert, haben, bilanziert
bilden, bilde, bildet, bildete, bildete, bilde, bildet, haben, gebildet
billigen, billige, billigt, billigte, billigte, billige, billigt, haben, gebilligt
bimmeln, bimmle, bimmelt, bimmelte, bimmelte, bimmle, bimmelt, haben, gebimmelt
bimsen, bimse, bimst, bimste, bimste, bims, bimst, haben, gebimst
binden, binde, bindet, band, bände, binde, bindet, haben, gebunden
bingen, binge, bingt, bingte, bingte, binge, bingt, haben, gebingt
biopsieren, biopsiere, biopsiert, biopsierte, biopsierte, biopsier, biopsiert, haben, biopsiert
bitten, bitte, bittet, bat, bäte, bitte, bittet, haben, gebeten
biwakieren, biwakiere, biwakiert, biwakierte, biwakierte, biwakiere, biwakiert, haben, biwakiert
bladen, blade, bladet, bladete, bladete, blade, bladet, sein, gebladet
blaffen, blaffe, blafft, blaffte, blaffte, blaff, blafft, haben, geblafft
blaken, blake, blakt, blakte, blakte, blake, blakt, haben, geblakt
blamieren, blamiere, blamiert, blamierte, blamierte, blamier, blamiert, haben, blamiert
blanchieren, blanchiere, blanchiert, blanchierte, blanchierte, blanchier, blanchiert, haben, blanchiert
blankziehen, ziehe blank, zieht blank, zog blank, zöge blank, zieh blank, zieht blank, haben, blankgezogen
blasen, blase, bläst, blies, bliese, blas, blast, haben, geblasen
blauen, blaue, blaut, blaute, blaute, blaue, blaut, haben, geblaut
blaumachen, mache blau, macht blau, machte blau, machte blau, mach blau, macht blau, haben, blaugemacht
blechen, bleche, blecht, blechte, blechte, blech, blecht, haben, geblecht
blecken, blecke, bleckt, bleckte, bleckte, blecke, bleckt, haben, gebleckt
bleiben, bleibe, bleibt, blieb, bliebe, bleibe, bleibt, sein, geblieben
bleibenlassen, lasse bleiben, lässt bleiben, ließ bleiben, ließe bleiben, lass bleiben, lasst bleiben, haben, bleibengelassen
bleichen, bleiche, bleicht, bleichte, bleichte, bleich, bleicht, haben, gebleicht
bleichen, bleiche, bleicht, bleichte, bleichte, bleich, bleicht, sein, gebleicht
blenden, blende, blendet, blendete, blendete, blende, blendet, haben, geblendet
blessieren, blessiere, blessiert, blessierte, blessierte, blessier, blessiert, haben, blessiert
blicken, blicke, blickt, blickte, blickte, blicke, blickt, haben, geblickt
blinken, blinke, blinkt, blinkte, blinkte, blink, blinkt, haben, geblinkt
blinkern, blinkere, blinkert, blinkerte, blinkerte, blinker, blinkert, haben, geblinkert
blinzeln, blinzle, blinzelt, blinzelte, blinzelte, blinzle, blinzelt, haben, geblinzelt
blitzen, blitze, blitzt, blitzte, blitzte, blitze, blitzt, haben, geblitzt
blocken, blocke, blockt, blockte, blockte, block, blockt, haben, geblockt
blockieren, blockiere, blockiert, blockierte, blockierte, blockier, blockiert, haben, blockiert
bloggen, blogge, bloggt, bloggte, bloggte, blogg, bloggt, haben, gebloggt
blubbern, blubbere, blubbert, blubberte, blubberte, blubbere, blubbert, haben, geblubbert
bluffen, bluffe, blufft, bluffte, bluffte, bluff, blufft, haben, geblufft
bluten, blute, blutet, blutete, blutete, blute, blutet, haben, geblutet
blähen, blähe, bläht, blähte, blähte, bläh, bläht, haben, gebläht
blättern, blättere, blättert, blätterte, blätterte, blättere, blättert, haben, geblättert
bläuen, bläue, bläut, bläute, bläute, bläu, bläut, haben, gebläut
blödeln, blödele, blödelt, blödelte, blödelte, blödele, blödelt, haben, geblödelt
blöken, blöke, blökt, blökte, blökte, blöke, blökt, haben, geblökt
blühen, blühe, blüht, blühte, blühte, blühe, blüht, haben, geblüht
bocken, bocke, bockt, bockte, bockte, bock, bockt, haben, gebockt
bodigen, bodige, bodigt, bodigte, bodigte, bodige, bodigt, haben, gebodigt
bohnern, bohnere, bohnert, bohnerte, bohnerte, bohner, bohnert, haben, gebohnert
bohren, bohre, bohrt, bohrte, bohrte, bohr, bohrt, haben, gebohrt
bollern, boller, bollert, bollerte, bollerte, boller, bollert, haben, gebollert
bolzen, bolze, bolzt, bolzte, bolzte, bolz, bolzt, haben, gebolzt
bombardieren, bombardiere, bombardiert, bombardierte, bombardierte, bombardiere, bombardiert, haben, bombardiert
bomben, bombe, bombt, bombte, bombte, bomb, bombt, haben, gebombt
bongen, bonge, bongt, bongte, bongte, bong, bongt, haben, gebongt
bonieren, boniere, boniert, bonierte, bonierte, bonier, boniert, haben, boniert
bonitieren, bonitiere, bonitiert, bonitierte, bonitierte, bonitiere, bonitiert, haben, bonitiert
boomen, boome, boomt, boomte, boomte, boom, boomt, haben, geboomt
booten, boote, bootet, bootete, bootete, boot, bootet, haben, gebootet
booten, boote, bootet, bootete, bootete, boot, bootet, haben, gebootet
borgen, borge, borgt, borgte, borgte, borge, borgt, haben, geborgt
boseln, bosel, boselt, boselte, boselte, bosel, boselt, haben, geboselt
bosseln, bossle, bosselt, bosselte, bosselte, bossle, bosselt, haben, gebosselt
bostitchen, bostitche, bostitcht, bostitchte, bostitchte, bostitche, bostitcht, haben, gebostitcht
botanisieren, botanisiere, botanisiert, botanisierte, botanisierte, botanisiere, botanisiert, haben, botanisiert
botschen, botsche, botscht, botschte, botschte, botsche, botscht, haben, gebotscht
bowlen, bowle, bowlt, bowlte, bowlte, bowl, bowlt, haben, gebowlt
boxen, boxe, boxt, boxte, boxte, boxe, boxt, haben, geboxt
boykottieren, boykottiere, boykottiert, boykottierte, boykottierte, boykottiere, boykottiert, haben, boykottiert
braaien, braaie, braait, braaite, braaite, braai, braait, haben, gebraait
brabbeln, brabbel, brabbelt, brabbelte, brabbelte, brabbel, brabbelt, haben, gebrabbelt
brainstormen, brainstorme, brainstormt, brainstormte, brainstormte, brainstorm, brainstormt, haben, gebrainstormt
branden, brande, brandet, brandete, brandete, brand, brandet, haben, gebrandet
brandmarken, brandmarke, brandmarkt, brandmarkte, brandmarkte, brandmarke, brandmarkt, haben, gebrandmarkt
brandschatzen, brandschatze, brandschatzt, brandschatzte, brandschatzte, brandschatz, brandschatzt, haben, gebrandschatzt
braten, brate, brät, briet, briete, brat, bratet, haben, gebraten
bratschen, bratsche, bratscht, bratschte, bratschte, bratsch, bratscht, haben, gebratscht
brauchen, brauche, braucht, brauchte, brauchte, brauche, braucht, haben, gebraucht
brauen, braue, braut, braute, braute, braue, braut, haben, gebraut
brausen, brause, braust, brauste, brauste, brause, braust, sein, gebraust
brechen, breche, bricht, brach, bräche, brich, brecht, haben, gebrochen
bremsen, bremse, bremst, bremste, bremste, brems, bremst, haben, gebremst
brennen, brenne, brennt, brannte, brennte, brenne, brennt, haben, gebrannt
brettern, brettere, brettert, bretterte, bretterte, brettere, brettert, sein, gebrettert
briefen, briefe, brieft, briefte, briefte, brief, brieft, haben, gebrieft
brillieren, brilliere, brilliert, brillierte, brillierte, brillier, brilliert, haben, brilliert
bringen, bringe, bringt, brachte, brächte, bring, bringt, haben, gebracht
brocken, brocke, brockt, brockte, brockte, brocke, brockt, haben, gebrockt
brodeln, brodle, brodelt, brodelte, brodelte, brodel, brodelt, haben, gebrodelt
brodieren, brodiere, brodiert, brodierte, brodierte, brodier, brodiert, haben, brodiert
broschieren, broschiere, broschiert, broschierte, broschierte, broschier, broschiert, haben, broschiert
bruchlanden, —, —, —, —, —, —, sein, bruchgelandet
brummeln, brummel, brummelt, brummelte, brummelte, brummel, brummelt, haben, gebrummelt
brummen, brumme, brummt, brummte, brummte, brumme, brummt, haben, gebrummt
brunchen, brunche, bruncht, brunchte, brunchte, brunch, bruncht, haben, gebruncht
brunzen, brunze, brunzt, brunzte, brunzte, brunz, brunzt, haben, gebrunzt
brutzeln, brutzle, brutzelt, brutzelte, brutzelte, brutzle, brutzelt, haben, gebrutzelt
bräteln, brätle, brätelt, brätelte, brätelte, brätle, brätelt, haben, gebrätelt
bräunen, bräune, bräunt, bräunte, bräunte, bräune, bräunt, haben, gebräunt
bröckeln, bröckele, bröckelt, bröckelte, bröckelte, bröckele, bröckelt, haben, gebröckelt
bröckeln, bröckele, bröckelt, bröckelte, bröckelte, bröckele, bröckelt, sein, gebröckelt
bröseln, brösle, bröselt, bröselte, bröselte, brösle, bröselt, sein, bröselt
brühen, brühe, brüht, brühte, brühte, brüh, brüht, haben, gebrüht
brüllen, brülle, brüllt, brüllte, brüllte, brüll, brüllt, haben, gebrüllt
brünieren, brüniere, brüniert, brünierte, brünierte, brünier, brüniert, haben, brüniert
brüskieren, brüskiere, brüskiert, brüskierte, brüskierte, brüskier, brüskiert, haben, brüskiert
brüsten, brüste, brüstet, brüstete, brüstete, brüst, brüstet, haben, gebrüstet
brüten, brüte, brütet, brütete, brütete, brüte, brütet, haben, gebrütet
bubbern, bubbere, bubbert, bubberte, bubberte, bubber, bubbert, haben, gebubbert
buben, bube, bubt, bubte, bubte, bub, bubt, haben, gebubt
buchen, buche, bucht, buchte, buchte, buch, bucht, haben, gebucht
buchstabieren, buchstabiere, buchstabiert, buchstabierte, buchstabierte, buchstabiere, buchstabiert, haben, buchstabiert
buckeln, buckele, buckelt, buckelte, buckelte, buckel, buckelt, haben, gebuckelt
buddeln, buddele, buddelt, buddelte, buddelte, buddele, buddelt, haben, gebuddelt
budgetieren, budgetiere, budgetiert, budgetierte, budgetierte, budgetiere, budgetiert, haben, budgetiert
buffieren, buffiere, buffiert, buffierte, buffierte, buffier, buffiert, haben, buffiert
bugsieren, bugsiere, bugsiert, bugsierte, bugsierte, bugsiere, bugsiert, haben, bugsiert
buhlen, buhle, buhlt, buhlte, buhlte, buhle, buhlt, haben, gebuhlt
bullern, bullere, bullert, bullerte, bullerte, buller, bullert, haben, gebullert
bummeln, bummle, bummelt, bummelte, bummelte, bummle, bummelt, haben, gebummelt
bummern, bummere, bummert, bummerte, bummerte, bummer, bummert, haben, gebummert
bumsen, bumse, bumst, bumste, bumste, bums, bumst, haben, gebumst
bunkern, bunkere, bunkert, bunkerte, bunkerte, bunker, bunkert, haben, gebunkert
busseln, bussle, busselt, busselte, busselte, bussle, busselt, haben, gebusselt
buttern, buttere, buttert, butterte, butterte, buttere, buttert, haben, gebuttert
bähen, bähe, bäht, bähte, bähte, bähe, bäht, haben, gebäht
bähen, bähe, bäht, bähte, bähte, bähe, bäht, haben, gebäht
bändern, bändere, bändert, bänderte, bänderte, bänder, bändert, haben, gebändert
bändigen, bändige, bändigt, bändigte, bändigte, bändige, bändigt, haben, gebändigt
bärmeln, bärmle, bärmelt, bärmelte, bärmelte, bärmel, bärmelt, haben, gebärmelt
bätzen, bätze, bätzt, bätzte, bätzte, bätze, bätzt, haben, gebätzt
bäumen, bäume, bäumt, bäumte, bäumte, bäum, bäumt, haben, gebäumt
bölken, bölke, bölkt, bölkte, bölkte, bölk, bölkt, haben, gebölkt
böllern, böllere, böllert, böllerte, böllerte, böllere, böllert, haben, geböllert
bördeln, bördele, bördelt, bördelte, bördelte, bördel, bördelt, haben, gebördelt
börnen, börne, börnt, börnte, börnte, börn, börnt, haben, gebörnt
böschen, bösche, böscht, böschte, böschte, bösch, böscht, haben, geböscht
bücken, bücke, bückt, bückte, bückte, bücke, bückt, haben, gebückt
büffeln, büffele, büffelt, büffelte, büffelte, büffele, büffelt, haben, gebüffelt
bügeln, bügle, bügelt, bügelte, bügelte, bügle, bügelt, haben, gebügelt
bündeln, bündle, bündelt, bündelte, bündelte, bündle, bündelt, haben, gebündelt
bürgen, bürge, bürgt, bürgte, bürgte, bürge, bürgt, haben, gebürgt
bürsten, bürste, bürstet, bürstete, bürstete, bürste, bürstet, haben, gebürstet
büßen, büße, büßt, büßte, büßte, büße, büßt, haben, gebüßt
cachen, cache, cacht, cachte, cachte, cach, cacht, haben, gecacht
camouflieren, camoufliere, camoufliert, camouflierte, camouflierte, camoufliere, camoufliert, haben, camoufliert
campen, campe, campt, campte, campte, camp, campt, haben, gecampt
campieren, campiere, campiert, campierte, campierte, campier, campiert, haben, campiert
canceln, cancele, cancelt, cancelte, cancelte, cancel, cancelt, haben, gecancelt
casten, caste, castet, castete, castete, caste, castet, haben, gecastet
chambrieren, chambriere, chambriert, chambrierte, chambrierte, chambriere, chambriert, haben, chambriert
changieren, changiere, changiert, changierte, changierte, changier, changiert, haben, changiert
chaptalisieren, chaptalisiere, chaptalisiert, chaptalisierte, chaptalisierte, chaptalisier, chaptalisiert, haben, chaptalisiert
charakterisieren, charakterisiere, charakterisiert, charakterisierte, charakterisierte, charakterisiere, charakterisiert, haben, charakterisiert
chargieren, chargiere, chargiert, chargierte, chargierte, chargier, chargiert, haben, chargiert
chartern, chartere, chartert, charterte, charterte, chartere, chartert, haben, gechartert
chatten, chatte, chattet, chattete, chattete, chatte, chattet, haben, gechattet
chauffieren, chauffiere, chauffiert, chauffierte, chauffierte, chauffiere, chauffiert, haben, chauffiert
checken, checke, checkt, checkte, checkte, check, checkt, haben, gecheckt
chiffrieren, chiffriere, chiffriert, chiffrierte, chiffrierte, chiffriere, chiffriert, haben, chiffriert
chillen, chille, chillt, chillte, chillte, chill, chillt, haben, gechillt
chippen, chippe, chippt, chippte, chippte, chippe, chippt, haben, gechippt
chloroformieren, chloroformiere, chloroformiert, chloroformierte, chloroformierte, chloroformier, chloroformiert, haben, chloroformiert
christianisieren, christianisiere, christianisiert, christianisierte, christianisierte, christianisiere, christianisiert, haben, christianisiert
clicken, clicke, clickt, clickte, clickte, click, clickt, haben, geclickt
coden, code, codet, codete, codete, code, codet, haben, gecodet
collagieren, collagiere, collagiert, collagierte, collagierte, collagier, collagiert, haben, collagiert
colorieren, coloriere, coloriert, colorierte, colorierte, coloriere, coloriert, haben, coloriert
computerisieren, computerisiere, computerisiert, computerisierte, computerisierte, computerisier, computerisiert, haben, computerisiert
conchieren, conchiere, conchiert, conchierte, conchierte, conchiere, conchiert, haben, conchiert
containerisieren, containerisiere, containerisiert, containerisierte, containerisierte, containerisiere, containerisiert, haben, containerisiert
containern, containere, containert, containerte, containerte, containere, containert, haben, containert
covern, covere, covert, coverte, coverte, covere, covert, haben, gecovert
crashen, crashe, crasht, crashte, crashte, crashe, crasht, haben, gecrasht
cremen, creme, cremt, cremte, cremte, creme, cremt, haben, gecremt
cruisen, cruise, cruist, cruiste, cruiste, cruis, cruist, sein, gecruist
cutten, cutte, cuttet, cuttete, cuttete, cutte, cuttet, haben, gecuttet
dabeihaben, habe dabei, hat dabei, hatte dabei, hätte dabei, hab dabei, habt dabei, haben, dabeigehabt
dackeln, dackele, dackelt, dackelte, dackelte, dackel, dackelt, sein, gedackelt
daddeln, daddle, daddelt, daddelte, daddelte, daddle, daddelt, haben, gedaddelt
dafür sein, bin dafür, ist dafür, war dafür, wäre dafür, sei dafür, seid dafür, sein, dafür gewesen
dagegen sein, bin dagegen, ist dagegen, war dagegen, wäre dagegen, sei dagegen, seid dagegen, sein, dagegen gewesen
dagegenrennen, renne dagegen, rennt dagegen, rannte dagegen, rennte dagegen, renn dagegen, rennt dagegen, sein, dagegengerannt
daguerreotypieren, daguerreotypiere, daguerreotypiert, daguerreotypierte, daguerreotypierte, daguerreotypiere, daguerreotypiert, haben, daguerreotypiert
dahaben, habe da, hat da, hatte da, hätte da, habe da, habt da, haben, dagehabt
daheimbleiben, bleibe daheim, bleibt daheim, blieb daheim, bliebe daheim, bleib daheim, bleibt daheim, sein, daheimgeblieben
daherreden, rede daher, redet daher, redete daher, redete daher, red daher, redet daher, haben, dahergeredet
dahinmetzeln, metzele dahin, metzelt dahin, metzelte dahin, metzelte dahin, metzele dahin, metzelt dahin, haben, dahingemetzelt
dahinraffen, raffe dahin, rafft dahin, raffte dahin, raffte dahin, raff dahin, rafft dahin, haben, dahingerafft
dahinscheiden, scheide dahin, scheidet dahin, schied dahin, schiede dahin, scheid dahin, scheidet dahin, sein, dahingeschieden
dahinschleppen, schleppe dahin, schleppt dahin, schleppte dahin, schleppte dahin, schlepp dahin, schleppt dahin, haben, dahingeschleppt
dahinsiechen, sieche dahin, siecht dahin, siechte dahin, siechte dahin, sieche dahin, siecht dahin, haben, dahingesiecht
dahinvegetieren, vegetiere dahin, vegetiert dahin, vegetierte dahin, vegetierte dahin, vegetier dahin, vegetiert dahin, haben, dahinvegetiert
dalken, dalke, dalkt, dalkte, dalkte, dalk, dalkt, haben, gedalkt
dampfen, dampfe, dampft, dampfte, dampfte, dampfe, dampft, haben, gedampft
dampfgaren, dampfgare, dampfgart, dampfgarte, dampfgarte, dampfgare, dampfgart, haben, dampfgegart
danebenbenehmen, benehme daneben, benimmt daneben, benahm daneben, benähme daneben, benimm daneben, benehmt daneben, haben, danebenbenommen
daniederliegen, liege danieder, liegt danieder, lag danieder, läge danieder, lieg danieder, liegt danieder, haben, daniedergelegen
danken, danke, dankt, dankte, dankte, dank, dankt, haben, gedankt
darben, darbe, darbt, darbte, darbte, darb, darbt, haben, gedarbt
darbieten, biete dar, bietet dar, bot dar, böte dar, biete dar, bietet dar, haben, dargeboten
darlegen, lege dar, legt dar, legte dar, legte dar, leg dar, legt dar, haben, dargelegt
darleihen, leihe dar, leiht dar, lieh dar, liehe dar, leihe dar, leiht dar, haben, dargeliehen
darniederliegen, liege darnieder, liegt darnieder, lag darnieder, läge darnieder, lieg darnieder, liegt darnieder, haben, darniedergelegen
darren, darre, darrt, darrte, darrte, darr, darrt, haben, gedarrt
darstellen, stelle dar, stellt dar, stellte dar, stellte dar, stell dar, stellt dar, haben, dargestellt
dartun, tue dar, tut dar, tat dar, täte dar, tue dar, tut dar, haben, dargetan
dastehen, stehe da, steht da, stand da, stünde da, steh da, steht da, haben, dagestanden
daten, date, datet, datete, datete, date, datet, haben, gedatet
datieren, datiere, datiert, datierte, datierte, datier, datiert, haben, datiert
dauern, dauere, dauert, dauerte, dauerte, dauere, dauert, haben, gedauert
davonlaufen, laufe davon, läuft davon, lief davon, liefe davon, lauf davon, lauft davon, sein, davongelaufen
davonstehlen, stehle davon, stiehlt davon, stahl davon, stähle davon, stiehl davon, stehlt davon, haben, davongestohlen
dazusagen, sage dazu, sagt dazu, sagte dazu, sagte dazu, sage dazu, sagt dazu, haben, dazugesagt
dazuschauen, schaue dazu, schaut dazu, schaute dazu, schaute dazu, schau dazu, schaut dazu, haben, dazugeschaut
dazustoßen, stoße dazu, stößt dazu, stieß dazu, stieße dazu, stoß dazu, stoßt dazu, sein, dazugestoßen
dazwischenfahren, fahre dazwischen, fährt dazwischen, fuhr dazwischen, führe dazwischen, fahr dazwischen, fahrt dazwischen, sein, dazwischengefahren
dazwischenfunken, funke dazwischen, funkt dazwischen, funkte dazwischen, funkte dazwischen, funk dazwischen, funkt dazwischen, haben, dazwischengefunkt
deaktivieren, deaktiviere, deaktiviert, deaktivierte, deaktivierte, deaktiviere, deaktiviert, haben, deaktiviert
dealen, deale, dealt, dealte, dealte, deale, dealt, haben, gedealt
debattieren, debattiere, debattiert, debattierte, debattierte, debattiere, debattiert, haben, debattiert
debridieren, debridiere, debridiert, debridierte, debridierte, debridier, debridiert, haben, debridiert
debütieren, debütiere, debütiert, debütierte, debütierte, debütier, debütiert, haben, debütiert
dechiffrieren, dechiffriere, dechiffriert, dechiffrierte, dechiffrierte, dechiffriere, dechiffriert, haben, dechiffriert
deckeln, deckle, deckelt, deckelte, deckelte, deckele, deckelt, haben, gedeckelt
decken, decke, deckt, deckte, deckte, decke, deckt, haben, gedeckt
decouvrieren, decouvriere, decouvriert, decouvrierte, decouvrierte, decouvrier, decouvriert, haben, decouvriert
dedizieren, dediziere, dediziert, dedizierte, dedizierte, dedizier, dediziert, haben, dediziert
deduzieren, deduziere, deduziert, deduzierte, deduzierte, deduzier, deduziert, haben, deduziert
deeskalieren, deeskaliere, deeskaliert, deeskalierte, deeskalierte, deeskaliere, deeskaliert, haben, deeskaliert
defektieren, defektiere, defektiert, defektierte, defektierte, defektier, defektiert, haben, defektiert
defibrillieren, defibrilliere, defibrilliert, defibrillierte, defibrillierte, defibrilliere, defibrilliert, haben, defibrilliert
defilieren, defiliere, defiliert, defilierte, defilierte, defilier, defiliert, haben, defiliert
definieren, definiere, definiert, definierte, definierte, definiere, definiert, haben, definiert
deflorieren, defloriere, defloriert, deflorierte, deflorierte, deflorier, defloriert, haben, defloriert
deformieren, deformiere, deformiert, deformierte, deformierte, deformier, deformiert, haben, deformiert
defäkieren, defäkiere, defäkiert, defäkierte, defäkierte, defäkier, defäkiert, haben, defäkiert
defäzieren, defäziere, defäziert, defäzierte, defäzierte, defäzier, defäziert, haben, defäziert
degenerieren, degeneriere, degeneriert, degenerierte, degenerierte, degenerier, degeneriert, sein, degeneriert
deglacieren, deglaciere, deglaciert, deglacierte, deglacierte, deglacier, deglaciert, haben, deglaciert
degorgieren, degorgiere, degorgiert, degorgierte, degorgierte, degorgiere, degorgiert, haben, degorgiert
degoutieren, degoutiere, degoutiert, degoutierte, degoutierte, degoutiere, degoutiert, haben, degoutiert
degradieren, degradiere, degradiert, degradierte, degradierte, degradier, degradiert, haben, degradiert
degraissieren, degraissiere, degraissiert, degraissierte, degraissierte, degraissiere, degraissiert, haben, degraissiert
degustieren, degustiere, degustiert, degustierte, degustierte, degustier, degustiert, haben, degustiert
dehnen, dehne, dehnt, dehnte, dehnte, dehn, dehnt, haben, gedehnt
dehydratisieren, dehydratisiere, dehydratisiert, dehydratisierte, dehydratisierte, dehydratisier, dehydratisiert, haben, dehydratisiert
dehydrieren, dehydriere, dehydriert, dehydrierte, dehydrierte, dehydriere, dehydriert, haben, dehydriert
deichen, deiche, deicht, deichte, deichte, deich, deicht, haben, gedeicht
deichseln, deichsle, deichselt, deichselte, deichselte, deichsle, deichselt, haben, gedeichselt
deinstallieren, deinstalliere, deinstalliert, deinstallierte, deinstallierte, deinstallier, deinstalliert, haben, deinstalliert
dejeunieren, dejeuniere, dejeuniert, dejeunierte, dejeunierte, dejeunier, dejeuniert, haben, dejeuniert
dekantieren, dekantiere, dekantiert, dekantierte, dekantierte, dekantiere, dekantiert, haben, dekantiert
deklamieren, deklamiere, deklamiert, deklamierte, deklamierte, deklamiere, deklamiert, haben, deklamiert
deklarieren, deklariere, deklariert, deklarierte, deklarierte, deklariere, deklariert, haben, deklariert
deklassieren, deklassiere, deklassiert, deklassierte, deklassierte, deklassiere, deklassiert, haben, deklassiert
deklinieren, dekliniere, dekliniert, deklinierte, deklinierte, dekliniere, dekliniert, haben, dekliniert
dekolonisieren, dekolonisiere, dekolonisiert, dekolonisierte, dekolonisierte, dekolonisier, dekolonisiert, haben, dekolonisiert
dekompilieren, dekompiliere, dekompiliert, dekompilierte, dekompilierte, dekompilier, dekompiliert, haben, dekompiliert
dekomponieren, dekomponiere, dekomponiert, dekomponierte, dekomponierte, dekomponier, dekomponiert, haben, dekomponiert
dekorieren, dekoriere, dekoriert, dekorierte, dekorierte, dekorier, dekoriert, haben, dekoriert
dekrementieren, dekrementiere, dekrementiert, dekrementierte, dekrementierte, dekrementier, dekrementiert, haben, dekrementiert
dekuvrieren, dekuvriere, dekuvriert, dekuvrierte, dekuvrierte, dekuvrier, dekuvriert, haben, dekuvriert
delegieren, delegiere, delegiert, delegierte, delegierte, delegiere, delegiert, haben, delegiert
delektieren, delektiere, delektiert, delektierte, delektierte, delektier, delektiert, haben, delektiert
delirieren, deliriere, deliriert, delirierte, delirierte, deliriere, deliriert, haben, deliriert
